"","pages","usernames","party","id","likes","institution"
"137","sollberger","SaSollberger","SVP","556256043",992,"nr"
"138","sommaruga","s_sommaruga","BR","1139082610033008640",41496,"br"
"139","sp","Spschweiz","SP","40681558",44457,"partei"
"140","stadler","SimonStadler7","Mitte","1234776461107777536",564,"nr"
"141","steinemann","BabaSteinemann","SVP","385293664",3979,"nr"
"142","storni","Storni","SP","543567716",890,"nr"
"143","streiff","MarianneStreiff","Mitte","2226700633",1733,"nr"
"144","studer","LilianStuder","Mitte","2966704293",1058,"nr"
"145","suter","suter_gabriela","SP","2748626978",2273,"nr"
"146","svp","SVPch","SVP","168790724",19104,"partei"
"147","toengi","mtoengi","Gruene","2353332248",926,"nr"
"148","trede","alinetrede","Gruene","264811652",7515,"nr"
"149","tuena","m_tuena","SVP","1018157677",490,"nr"
"150","vogt","hansuelivogt","SVP","3063932104",608,"nr"
"151","walder","WalderNicolas","Gruene","1235234266734301187",891,"nr"
"152","wasserfallen","cwasi","FDP","50444931",12661,"nr"
"153","wasserfallenflavia","FWasserfallen","SP","921948812",4023,"nr"
"154","wehrli","LaurentWehrli","FDP","3301771943",846,"nr"
"155","weichelt","ManuelaWeichelt","Gruene","1196035537213296640",581,"nr"
"156","wermuth","cedricwermuth","SP","21436172",53120,"nr"
"157","wettstein","FelixWettstein","Gruene","1140180221167099905",618,"nr"
"158","widmer","CelineWidmer1","SP","953344402084302848",791,"nr"
"159","wismer-felder","PriskaWismer","Mitte","1145773593277665282",587,"nr"
"160","wyss","Sarah_Wyss","SP","308991012",1672,"nr"
"161","Baume-Schneider","ElisabethBaume","SP","1313861114044862466",226,"sr"
"162","Bischof","PirminBischof","Mitte","196646702",2443,"sr"
"163","Burkart","ThierryBurkart","FDP","3240586961",2261,"sr"
"164","Caroni","AndreaCaroniAR","FDP","442685639",5397,"sr"
"165","Chiesa","marcochiesa74","SVP","289393019",1617,"sr"
"166","Engler","engler_stefan","Mitte","3290133496",1754,"sr"
"167","Ettlin","e_ettlin","Mitte","2154083999",1308,"sr"
"168","Francais","OliFrancais","FDP","3428301377",1867,"sr"
"169","Gapany","johanna_gapany","FDP","125119633",1471,"sr"
"170","Gmür Schönenberger","AGmur","Mitte","235081966",2704,"sr"
"171","Graf","mayagraf_bl","Gruene","3374457514",5556,"sr"
"172","Häberli-Koller","B_Haeberli","Mitte","213648250",2106,"sr"
"173","Jositsch","danieljositsch","SP","3246291543",3834,"sr"
"174","Juillard","charlesjuillard","Mitte","518738552",965,"sr"
"175","Knecht","HansjoergKnecht","SVP","2982472295",789,"sr"
"176","Levrat","ChristianLevrat","SP","40872955",35642,"sr"
"177","Maret","mariannemaret","Mitte","2960048987",1334,"sr"
"178","Michel","michelzug","FDP","1126783222552117249",559,"sr"
"179","Müller","Damian_Mueller_","FDP","603431624",3122,"sr"
"180","Noser","RuediNoser","FDP","304379532",10470,"sr"
"181","Rechsteiner","PaulRechsteiner","SP","529478391",6428,"sr"
"182","Rieder","RiederBeat","Mitte","2832533567",709,"sr"
"183","Salzmann","WernerSalzmann","SVP","107839832",160,"sr"
"184","carlosommaruga","CarloSommaruga","SP","157431387",8661,"sr"
"185","Stark","JakobStark","SVP","1139451206215118848",340,"sr"
"186","thorens","adelethorens","Gruene","2870723938",5229,"sr"
"187","Vara","VaraCeline","Gruene","2998021035",1119,"sr"
"188","Zanetti","zanettiroberto","SP","84155033",6302,"sr"
"189","Zopfi","ZopfiMathias","Gruene","1369736410601775105",67,"sr"
