"","Baume-Schneider","Bischof","Burkart","Caroni","Chiesa","Engler","Ettlin","Francais","Gapany","Gmür Schönenberger","Graf","Häberli-Koller","Jositsch","Juillard","Knecht","Levrat","Maret","Michel","Müller","Noser","Rechsteiner","Rieder","Salzmann","carlosommaruga","Stark","thorens","Vara","Zanetti","Zopfi"
"Graf",0,0.0790136789056875,0.0228581713462923,0.0809935205183585,0.0307775377969762,0.08585313174946,0.00413966882649388,0.0437365010799136,0.14056875449964,0.264038876889849,1,0,0.0334773218142549,0.19528437724982,0.0687544996400288,0.0259179265658747,0.145788336933045,0.125809935205184,0.155327573794096,0.18682505399568,0.0637149028077754,0.0622750179985601,0.116090712742981,0.0998920086393089,0.0635349172066235,0.22264218862491,0.175305975521958,0.147768178545716,0
"Häberli-Koller",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jositsch",0,0.0365153886280647,0.0466875326030256,0.109285341679708,0.0226917057902973,0.0894627021387585,0.00130412102243088,0.0599895670318206,0.0589462702138758,0.066510172143975,0.0485133020344288,0,1,0.125456442357851,0.0271257172665623,0.0456442357850809,0.0417318727177882,0.0623369848721961,0.068075117370892,0.0672926447574335,0.0625978090766823,0.0688575899843505,0.0469483568075117,0.0511215440792906,0.0305164319248826,0.0599895670318206,0.0446009389671361,0.0584246218049035,0
"Juillard",0,3.97823834196891,0.584455958549223,2.11709844559585,0.179274611398964,4.90155440414508,0.0341968911917098,0.362694300518135,3.42901554404145,3.30466321243523,1.12435233160622,0,0.498445595854922,1,0.471502590673575,0.344041450777202,1.8559585492228,1.21554404145078,2.18341968911917,1.13471502590674,0.688082901554404,0.935751295336788,0.651813471502591,0.740932642487047,0.513989637305699,2.62694300518135,0.968911917098446,1.40414507772021,0
"Knecht",0,0.375158428390368,0.0950570342205323,0.32319391634981,0.168567807351077,0.370088719898606,0.00887198986058302,0.220532319391635,0.49936628643853,0.667934093789607,0.484157160963245,0,0.131812420785805,0.576679340937896,1,0.111533586818758,0.486692015209125,0.468948035487959,0.490494296577947,0.448669201520913,0.172370088719899,0.273764258555133,0.354879594423321,0.377693282636248,0.276299112801014,0.594423320659062,0.579214195183777,0.513307984790874,0
"Levrat",0,0.00356321194096852,0.00389989338420964,0.0071544806688738,0.00176757757701588,0.00709836709500028,0.00011222714774704,0.00356321194096852,0.00488188092699624,0.0054710734526682,0.00404017731889344,0,0.004909937713933,0.00931485326300432,0.00246899725043488,1,0.00353515515403176,0.0047696537792492,0.00479771056618596,0.00507827843555356,0.00451714269681836,0.00586386846978284,0.00404017731889344,0.00404017731889344,0.00249705403737164,0.00516244879636384,0.00342292800628472,0.00488188092699624,0
"Maret",0,0.474512743628186,0.1071964017991,0.43328335832084,0.113193403298351,0.536731634182909,0.0142428785607196,0.176911544227886,1.07571214392804,1.39205397301349,0.607196401799101,0,0.119940029985007,1.34257871064468,0.287856071964018,0.0944527736131934,1,0.563718140929535,0.930284857571214,0.604197901049475,0.197151424287856,0.233883058470765,0.376311844077961,0.421289355322339,0.257871064467766,1.13493253373313,0.556971514242879,0.709895052473763,0
"Michel",0,1.07334525939177,0.239713774597496,0.917710196779964,0.329159212880143,1.12343470483005,0.0339892665474061,0.483005366726297,1.77459749552773,2.15563506261181,1.25044722719141,0,0.427549194991055,2.09838998211091,0.661896243291592,0.304114490161002,1.34525939177102,1,1.59212880143113,1.61359570661896,0.432915921288014,0.558139534883721,1.11449016100179,1.12880143112701,0.502683363148479,1.98747763864043,1.10196779964222,1.84615384615385,0
"Müller",0,0.214285714285714,0.108263933376041,0.352978859705317,0.0541319666880205,0.305253042921204,0.00640614990390775,0.0794362588084561,0.510570147341448,0.541960281870596,0.276425368353619,0,0.0836002562459962,0.674887892376682,0.123959000640615,0.0547725816784113,0.397501601537476,0.285073670723895,1,0.31806534272902,0.107303010890455,0.119154388212684,0.182895579756566,0.192825112107623,0.114670083279949,0.437219730941704,0.242793081358104,0.316143497757848,0
"Noser",0,0.0384909264565425,0.0129894937917861,0.0471824259789876,0.016523400191022,0.0491881566380134,0.00114613180515759,0.0276026743075454,0.0787010506208214,0.119293218720153,0.0991404011461318,0,0.0246418338108883,0.10458452722063,0.033810888252149,0.017287488061127,0.076981852913085,0.0861509073543457,0.0948424068767908,1,0.0255969436485196,0.0288443170964661,0.0740210124164279,0.0598853868194842,0.0333333333333333,0.1018147086915,0.0738299904489016,0.0915950334288443,0
"Rechsteiner",0,0.0314250155569384,0.0368699439950218,0.0762289981331674,0.0141568139390168,0.0634723086496577,0.00140012445550716,0.0214685749844431,0.0514934660858743,0.0796515245799627,0.0550715619166148,0,0.0373366521468575,0.103298070939639,0.0211574362165526,0.0250466708151836,0.040914747977598,0.037647790914748,0.0521157436216553,0.0416925948973242,1,0.0682949595519602,0.0315805849408836,0.0283136278780336,0.0233354075917859,0.0724953329184816,0.0490043559427505,0.0407591785936528,0
"Rieder",0,0.394922425952045,0.38787023977433,1.07193229901269,0.124118476727786,0.968970380818054,0.0155148095909732,0.297602256699577,0.578279266572638,0.723554301833568,0.488011283497884,0,0.372355430183357,1.27362482369535,0.304654442877292,0.294781382228491,0.440056417489422,0.440056417489422,0.524682651622003,0.425952045133992,0.619181946403385,1,0.366713681241185,0.377997179125529,0.27080394922426,0.684062059238364,0.449929478138223,0.475317348377997,0
"Salzmann",0,2.0125,0.6125,1.95,0.8875,2.1125,0.05625,1.61875,3.29375,4.34375,4.03125,0,1.125,3.93125,1.75,0.9,3.1375,3.89375,3.56875,4.84375,1.26875,1.625,1,3.29375,1.45,4.01875,3.09375,4.0875,0
"carlosommaruga",0,0.0462995035215333,0.0107377900935227,0.0408728784205057,0.0153561944348228,0.0461840434130008,0.00115460108532502,0.0319824500635031,0.0701997459877612,0.0861332409652465,0.0640803602355386,0,0.0226301812723704,0.0825539776007389,0.0344071123426856,0.0166262556286803,0.0648885809952661,0.0728553284840088,0.0695069853365662,0.0723934880498788,0.0210137397529154,0.0309433090867105,0.0608474771966286,1,0.0288650271331255,0.0796674748874264,0.0559981526382635,0.0783974136935689,0
"Stark",0,0.655882352941176,0.247058823529412,0.676470588235294,0.338235294117647,0.835294117647059,0.0176470588235294,0.432352941176471,1.06764705882353,1.45882352941176,1.03823529411765,0,0.344117647058824,1.45882352941176,0.641176470588235,0.261764705882353,1.01176470588235,0.826470588235294,1.05294117647059,1.02647058823529,0.441176470588235,0.564705882352941,0.682352941176471,0.735294117647059,1,1.34705882352941,1.07058823529412,0.923529411764706,0
"thorens",0,0.183591508892714,0.0376745075540256,0.147255689424364,0.0369095429336393,0.193727290112832,0.004972270032511,0.0504876649454963,0.38382099827883,0.561101549053356,0.236565308854465,0,0.0439854656722127,0.484796328169822,0.0896921017402945,0.0351883725377701,0.289539108816217,0.212468923312297,0.261044176706827,0.203863071332951,0.0891183782750048,0.0927519602218397,0.122968062727099,0.131956397016638,0.0875884490342322,1,0.216102505259132,0.247274813539874,0
"Vara",0,0.340482573726542,0.09562109025916,0.345844504021448,0.151921358355675,0.385165326184093,0.0169794459338695,0.196604110813226,0.627345844504021,1.1331546023235,0.870420017873101,0,0.152815013404826,0.835567470956211,0.40840035746202,0.109025915996425,0.663985701519214,0.550491510277033,0.677390527256479,0.690795352993744,0.281501340482574,0.285075960679178,0.442359249329759,0.433422698838248,0.325290437890974,1.00983020554066,1,0.672028596961573,0
"Zanetti",0,0.118533798794034,0.0223738495715646,0.0829895271342431,0.0249127261186925,0.103935258648048,0.00285623611551888,0.047921294827039,0.177086639162171,0.230879086004443,0.1302761028245,0,0.0355442716597905,0.215011107584894,0.0642653125991749,0.0276102824500159,0.150269755633132,0.163757537289749,0.156616947000952,0.152173913043478,0.0415741034592193,0.0534750872738813,0.103776578863853,0.10774357346874,0.049825452237385,0.205172960964773,0.119327197715011,1,0
"Zopfi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
